"STATENAME","YEAR","White","Black","Latine","Asian"
"Alabama",2013,0.663429133905508,0.264780432139043,0.0391600923677448,0.0118593911689584
"Alaska",2013,0.62475990706431,0.0344836029447773,0.0664424892400276,0.0611862903532971
"Arizona",2013,0.566165667465062,0.0401148458098724,0.302458536956375,0.0300934533180093
"Arkansas",2013,0.735707867849034,0.156757867291484,0.0687510496311212,0.0124796705248037
"California",2013,0.388460101541456,0.056557276783335,0.383912161686418,0.137257317357238
"Colorado",2013,0.691066890366598,0.03803057000395,0.210451549787629,0.0293098411708979
"Connecticut",2013,0.693628061667149,0.0969352739649841,0.146611032012636,0.0405580521011768
"Delaware",2013,0.639734960556263,0.210037493964347,0.0875680124958277,0.0369084924747421
"District of Columbia",2013,0.355780579751844,0.480017758554813,0.101974014964831,0.0337195973696301
"Florida",2013,0.561882456070365,0.154814896644276,0.23630604423087,0.0258590814847547
"Georgia",2013,0.545992075592812,0.306382189168776,0.0907498843844383,0.0356456212150978
"Hawaii",2013,0.229504705659469,0.0196773058586066,0.0985482039864564,0.449733414811681
"Idaho",2013,0.831770396542227,0.00500640144503938,0.117957790161624,0.0164768977307125
"Illinois",2013,0.626759151336327,0.140831546944664,0.164442074236918,0.0486947233513699
"Indiana",2013,0.805540243942156,0.0892303674594447,0.0638370500731863,0.0187147822323328
"Iowa",2013,0.874710394975951,0.0326140558423203,0.0538746239988403,0.0207544874217581
"Kansas",2013,0.77090260843544,0.0580250501303233,0.111221763142991,0.0245235157260457
"Kentucky",2013,0.856309986019141,0.0792815954332986,0.032098869359167,0.0121454873904937
"Louisiana",2013,0.595226214849518,0.321227032063769,0.0472786549258778,0.015883575074533
"Maine",2013,0.938884380208718,0.0104020019543748,0.0128848710609485,0.0102988627586197
"Maryland",2013,0.531283997102962,0.290740610179371,0.0896250076322178,0.0590133203706509
"Massachusetts",2013,0.746253300549962,0.064101043147108,0.105116614451538,0.0571464302662075
"Michigan",2013,0.759395114324294,0.137938069986909,0.0471022438003392,0.0269334257108851
"Minnesota",2013,0.818763998096074,0.053556761703054,0.0487002756264321,0.044519387939591
"Mississippi",2013,0.573053620160691,0.376968227207278,0.0265782341375906,0.00946808428838258
"Missouri",2013,0.803722793415342,0.114333131872014,0.0375527098753493,0.0171696002644531
"Montana",2013,0.870946102357745,0.00235134190008521,0.0321080809523575,0.0074953332709461
"Nebraska",2013,0.809639307343368,0.0468880116627313,0.098192362281083,0.017845177670408
"Nevada",2013,0.520974604822131,0.0809258043335522,0.275143218825176,0.082650451447528
"New Hampshire",2013,0.915019656823521,0.00836671177573314,0.031043651522261,0.0240664803367539
"New Jersey",2013,0.573403148256292,0.127173152972372,0.18929349696646,0.0891498795584706
"New Mexico",2013,0.392952145196321,0.0172623720379976,0.473180430319663,0.0133473234139953
"New York",2013,0.56930017296209,0.143600415385845,0.183632266994153,0.0783214112859787
"North Carolina",2013,0.642202118996026,0.212929450064277,0.08803114522048,0.0246104308868955
"North Dakota",2013,0.873309528845316,0.0172589449994678,0.022652970100623,0.0105378404269878
"Ohio",2013,0.803558316757136,0.120399889100225,0.0328796398661182,0.0182799680022346
"Oklahoma",2013,0.673860064281426,0.0719693821794603,0.0961112750118943,0.0170754029015979
"Oregon",2013,0.773166092672767,0.0168539197188851,0.122812472567248,0.0425985320853472
"Pennsylvania",2013,0.782776951042215,0.106710993853748,0.0628766645104304,0.0297476060571164
"Rhode Island",2013,0.746665512771621,0.0518121065780577,0.135862582512213,0.0303934052996117
"South Carolina",2013,0.638600380033756,0.273781377759543,0.0529286956062812,0.0137326096230679
"South Dakota",2013,0.833458598115465,0.0164485481318582,0.032437857818357,0.0101103474233527
"Tennessee",2013,0.748487602636585,0.168461469543154,0.0476376305461626,0.0150320706135396
"Texas",2013,0.439467112176624,0.115836004372775,0.38395825378316,0.0413354137275087
