"STATENAME","Asian","Black","Latine","White"
"Alabama",0.0138373322646402,0.267949914188431,0.0446811613267703,0.650695007428845
"Alaska",0.0732654860603244,0.0252287965880431,0.0714802233628827,0.600266559131701
"Arizona",0.0341716816301554,0.0439695622181766,0.3175216181643,0.539941036311757
"Arkansas",0.0189733992002131,0.155442500573265,0.0768409744304136,0.719503652324671
"California",0.148744731472081,0.0551819369920037,0.39423633542461,0.363324812172679
"Colorado",0.0329084368514202,0.0391358450882277,0.218268904843007,0.675504833005021
"Connecticut",0.0462936083406469,0.101619869592546,0.168259385569801,0.656229919218285
"Delaware",0.0389262696094742,0.220162174818539,0.0962502207927177,0.613599393692928
"District of Columbia",0.0399136236820739,0.442389574763832,0.112897078139679,0.371545691173491
"Florida",0.0276889040963673,0.152523378044903,0.263777464078269,0.529547084034039
"Georgia",0.0409787761116798,0.315509516763154,0.0982348541637646,0.518391892269904
"Hawaii",0.470424586403291,0.0182269301179768,0.105881746372553,0.21552866360801
"Idaho",0.0133654903431045,0.00679773819083245,0.128428456715341,0.815996620156514
"Illinois",0.0559639376219093,0.138921627759736,0.174993160020174,0.606919952546678
"Indiana",0.0251053924419274,0.0939231180685001,0.0720896037398664,0.783390736397613
"Iowa",0.023477767529722,0.040635231547953,0.0624033698142989,0.851509158275411
"Kansas",0.0283972136199531,0.0569231466295772,0.121855728562043,0.753849053002869
"Kentucky",0.0165441830680088,0.0818041069702281,0.0375334094505126,0.841880101789007
"Louisiana",0.0169050295625059,0.322124404738089,0.0538840826244398,0.582722959976286
"Maine",0.0120553900723993,0.0142834612397449,0.0178498629680437,0.928184691105272
"Maryland",0.0631378108004393,0.297575128025301,0.10637579230128,0.498533663706978
"Massachusetts",0.0686290597189439,0.0708146227865262,0.123851088639352,0.703104663139066
"Michigan",0.0325849263687264,0.135673916228099,0.0526971598772266,0.746732330301716
"Minnesota",0.0497323229600797,0.0648129168711717,0.0553947491609382,0.789955621217838
"Mississippi",0.00986644149872873,0.378685005354235,0.0300888833186779,0.563062198834803
"Missouri",0.0217525973420788,0.114923873648701,0.0430009117825904,0.790860764476585
"Montana",0.00781733905450898,0.00592733009100112,0.0377739811261085,0.859001588730307
"Nebraska",0.0244777730447765,0.0481961406280371,0.113578417789835,0.783292356111017
"Nevada",0.0889308853187955,0.0937218764244408,0.292378697702324,0.478515698555528
"New Hampshire",0.0270800192099645,0.0140478381067742,0.0399621684313799,0.896324292441556
"New Jersey",0.0957660216680796,0.126638588005886,0.209066682878885,0.543062915789912
"New Mexico",0.0165278141422119,0.0193806934184905,0.492641030813671,0.367913644841806
"New York",0.0855546190232215,0.141886362090725,0.192676703252428,0.550593076506661
"North Carolina",0.0294170031437582,0.211388943871922,0.0976717005699039,0.624556401340798
"North Dakota",0.0183685841834391,0.0265870755922746,0.0401122218402177,0.837618199044172
"Ohio",0.0232790377360105,0.12336792396335,0.039909146127589,0.783571618003097
"Oklahoma",0.0217512334560956,0.0708825007815321,0.110710692597949,0.648789945642766
"Oregon",0.0487327683067958,0.0179750420663972,0.134546796066232,0.748985297091782
"Pennsylvania",0.0354369934234438,0.106580547757071,0.0777031600323981,0.756211398088219
"Rhode Island",0.0337477026245067,0.0582058429562727,0.163739273014581,0.707267871858602
"South Carolina",0.0183791525417803,0.263723329747972,0.0580125444916925,0.635069844625279
"South Dakota",0.0139522686142344,0.0229161744807886,0.0375964072032275,0.815766300913685
"Tennessee",0.0184079363038634,0.166274720778823,0.0570645878989172,0.732734295538523
"Texas",0.0498077640751802,0.118813565278461,0.397553431813298,0.411432230667521
"Utah",0.0303001474130354,0.0106074377767893,0.144253293399352,0.776577859098591
"Vermont",0.0163384290428197,0.0114328938490903,0.0200452251562127,0.924533926078825
"Virginia",0.0660065310615558,0.191001273619097,0.0970003112874566,0.610784651759313
"Washington",0.0945737517257301,0.0392933951928149,0.130249630559484,0.673371378954373
"West Virginia",0.00800827164289536,0.0364691066078843,0.0146902011944333,0.920463555723945
"Wisconsin",0.0302243013832359,0.0630612558253129,0.070725232780655,0.808389927648815
"Wyoming",0.00774070036059914,0.00974326101192379,0.102011372609324,0.837612892412904
